red,green,blue,purple
"[[ 0.29101968  0.29101968  0.29101968  0.29101968  0.29101968  0.06863898
   0.21733812  0.05498197  0.22685475  0.31356535  0.37484337  0.10495419
   0.15678441  0.11297329  0.13486879  0.06722499  0.17291842]
 [-0.69142725 -0.69142725 -0.69142725 -0.69142725 -0.69142725 -0.61687595
  -0.89099033 -0.51776173 -0.95626082 -0.51872375 -0.78668774 -0.63360565
  -0.83479072 -0.58119771 -0.81922434 -0.56215442 -0.77262299]
 [ 1.5214012   1.5214012   1.5214012   1.5214012   1.5214012   1.32098736
   1.3038142   1.02490304  0.99170468  1.08378284  0.91708048  0.76013179
   0.75102553  0.35701287  0.34236713  0.03381741  0.04147602]]","[[ 0.71199603  0.71199603  0.71199603  0.71199603  0.71199603  0.62347198
   0.93326454  0.54798538  1.1639743   0.63704197  0.924521    0.76643617
   1.01395716  0.73126198  1.03212751  0.70168755  1.06903536]
 [-0.97012487 -0.97012487 -0.97012487 -0.97012487 -0.97012487 -1.16917556
  -1.15798638 -0.94216087 -0.96247529 -0.73060013 -0.82505672 -1.19669583
  -1.17171355 -1.21219908 -1.12559008 -1.27712534 -1.10812793]
 [ 1.53433752  1.53433752  1.53433752  1.53433752  1.53433752  1.3824572
   1.43555898  1.22905733  1.35453941  1.36219757  1.43471739  0.82791867
   0.82285385  0.39877158  0.39732721  0.01333474 -0.03066744]]","[[ 0.81493823  0.81493823  0.81493823  0.81493823  0.81493823  1.05811904
   0.85914938  1.08863684  0.57907902  0.81599796  0.61483959  0.91056941
   0.86065629  0.93737871  0.8575025   0.9812233   0.8692103 ]
 [-0.07092819 -0.07092819 -0.07092819 -0.07092819 -0.07092819 -0.17252512
   0.15857918 -0.43868151  0.15007542 -0.36519838 -0.04110249 -0.09900882
   0.09963949 -0.05920027  0.1434576  -0.04349435  0.18496799]
 [ 1.58874867  1.58874867  1.58874867  1.58874867  1.58874867  1.40462572
   1.410435    1.39379499  1.4012267   1.44944678  1.46336433  0.79531812
   0.81484831  0.35752452  0.37697669 -0.03740391 -0.03883096]]"
"[[ 0.70718788  0.70718788  0.70718788  0.70718788  0.70718788  0.61580503
   0.94773273  0.54053616  1.13947953  0.62223869  0.94312954  0.76025083
   0.97800952  0.72191355  1.03613965  0.72683141  1.06156449]
 [-0.97779169 -0.97779169 -0.97779169 -0.97779169 -0.97779169 -1.17887188
  -1.16681637 -0.93243218 -0.96999284 -0.72222436 -0.81292983 -1.19977717
  -1.17013226 -1.22168185 -1.13976184 -1.27877732 -1.1130007 ]
 [ 1.53803039  1.53803039  1.53803039  1.53803039  1.53803039  1.37659956
   1.44177855  1.24059473  1.37656834  1.37161195  1.44817536  0.82396777
   0.82918223  0.41590972  0.39150144 -0.00227581 -0.03266559]]","[[ 0.27270574  0.27270574  0.27270574  0.27270574  0.27270574  0.06999813
   0.18047484  0.09153907  0.19475237  0.3276752   0.35785193  0.10750915
   0.16333976  0.09818325  0.13399082  0.04630272  0.17168049]
 [-0.70100097 -0.70100097 -0.70100097 -0.70100097 -0.70100097 -0.58144578
  -0.8856605  -0.4900431  -0.9368032  -0.53755306 -0.76014039 -0.60350826
  -0.80787672 -0.58016266 -0.81736506 -0.56681714 -0.76723897]
 [ 1.52120925  1.52120925  1.52120925  1.52120925  1.52120925  1.32340473
   1.3112934   1.03479408  0.99799348  1.10651532  0.93875042  0.77910187
   0.77198887  0.36974902  0.34969669 -0.01862957  0.04621696]]","[[ 0.75558866  0.75558866  0.75558866  0.75558866  0.75558866  0.95859507
   0.85823376  0.99600362  0.56276766  0.6906426   0.61566285  0.98089666
   0.85069577  0.94922753  0.84488862  0.97690008  0.85569422]
 [ 0.01563601  0.01563601  0.01563601  0.01563601  0.01563601 -0.19147046
   0.14844262 -0.4702099   0.1775242  -0.34938495 -0.0552711  -0.11575883
   0.09631069 -0.06285268  0.13910832 -0.04066151  0.18724529]
 [ 1.57494614  1.57494614  1.57494614  1.57494614  1.57494614  1.40073883
   1.40732261  1.38230308  1.40860461  1.45958074  1.46838269  0.80790157
   0.82028699  0.36734193  0.38570418 -0.03347737 -0.03783191]]"
"[[ 0.69775365  0.69775365  0.69775365  0.69775365  0.69775365  0.61557571
   0.94626202  0.5410306   1.14156972  0.64469765  0.92105706  0.77522018
   1.0127604   0.7113385   1.02245076  0.72442283  1.05565951]
 [-0.98028991 -0.98028991 -0.98028991 -0.98028991 -0.98028991 -1.17594238
  -1.17324254 -0.92464251 -0.97030824 -0.74123242 -0.82133572 -1.19591721
  -1.18580072 -1.21137768 -1.1416721  -1.2731126  -1.11877096]
 [ 1.52914679  1.52914679  1.52914679  1.52914679  1.52914679  1.36447238
   1.43994225  1.23698281  1.35339162  1.36335898  1.42990969  0.82901114
   0.82661151  0.41197951  0.3826856  -0.00162933 -0.0425653 ]]","[[ 0.28528604  0.28528604  0.28528604  0.28528604  0.28528604  0.08390853
   0.17880093  0.03784715  0.19333741  0.28564093  0.35696828  0.09849528
   0.12787352  0.08563754  0.12256067  0.05879377  0.14999252]
 [-0.67702216 -0.67702216 -0.67702216 -0.67702216 -0.67702216 -0.56064013
  -0.85384877 -0.48562097 -0.92112742 -0.53082523 -0.80254467 -0.58770941
  -0.8028195  -0.57448974 -0.80746895 -0.55825309 -0.76649254]
 [ 1.51682951  1.51682951  1.51682951  1.51682951  1.51682951  1.32464182
   1.31349869  1.03208561  1.01496327  1.06125061  0.9612391   0.78209545
   0.76121685  0.3683523   0.33655632 -0.02240303  0.05007799]]","[[ 0.74396653  0.74396653  0.74396653  0.74396653  0.74396653  0.93415467
   0.83156955  1.07975029  0.55051883  0.7766801   0.61490525  0.88435703
   0.82865354  0.92274182  0.84845352  0.98268163  0.86705001]
 [ 0.01529388  0.01529388  0.01529388  0.01529388  0.01529388 -0.19798733
   0.15193118 -0.43359214  0.16679111 -0.38778699 -0.05372802 -0.11023576
   0.11060757 -0.0733554   0.13281185 -0.04683937  0.18820639]
 [ 1.57398675  1.57398675  1.57398675  1.57398675  1.57398675  1.3963934
   1.40953154  1.37636371  1.40981135  1.45120157  1.46626719  0.786904
   0.84085092  0.36008684  0.38018604 -0.03546285 -0.03840924]]"
"[[ 0.69546946  0.69546946  0.69546946  0.69546946  0.69546946  0.61124541
   0.93547873  0.55612795  1.14019999  0.62465453  0.92044524  0.75654042
   1.00333127  0.72117093  1.04671586  0.70418236  1.0595533 ]
 [-0.97179597 -0.97179597 -0.97179597 -0.97179597 -0.97179597 -1.17255374
  -1.16631599 -0.92312883 -0.96350703 -0.71988944 -0.81369704 -1.2024957
  -1.17967911 -1.19194978 -1.13813677 -1.27447658 -1.11286941]
 [ 1.52973093  1.52973093  1.52973093  1.52973093  1.52973093  1.35900285
   1.43992392  1.21640737  1.36870518  1.35574914  1.43019444  0.82990199
   0.8278809   0.41168921  0.38603925  0.01341295 -0.03625014]]","[[ 0.26653277  0.26653277  0.26653277  0.26653277  0.26653277  0.05628331
   0.16798353  0.09273341  0.16968066  0.32096252  0.32477968  0.09180566
   0.12973883  0.0863566   0.12187669  0.04220714  0.09657378]
 [-0.64613722 -0.64613722 -0.64613722 -0.64613722 -0.64613722 -0.53989644
  -0.85638647 -0.45384881 -0.90174086 -0.48534874 -0.75490939 -0.56882236
  -0.78846894 -0.57065028 -0.79582851 -0.56558822 -0.74147587]
 [ 1.53164961  1.53164961  1.53164961  1.53164961  1.53164961  1.3326844
   1.316305    1.03521992  1.00781867  1.13853668  0.98779187  0.80828021
   0.77704932  0.36686951  0.34231959 -0.01867956 -0.02423443]]","[[ 0.76908155  0.76908155  0.76908155  0.76908155  0.76908155  1.01555918
   0.82479775  1.11502533  0.52778364  0.79627408  0.58037443  0.93772875
   0.83073141  0.93189902  0.83590057  0.96355061  0.85514366]
 [-0.11074286 -0.11074286 -0.11074286 -0.11074286 -0.11074286 -0.19644963
   0.15772222 -0.42143546  0.18801351 -0.37387399 -0.02744638 -0.13564627
   0.07826901 -0.07314116  0.12832751 -0.05466112  0.18266383]
 [ 1.57855287  1.57855287  1.57855287  1.57855287  1.57855287  1.40047568
   1.41024589  1.38799786  1.40304628  1.43853824  1.47084816  0.78480912
   0.83565531  0.36320344  0.38854984 -0.03704173 -0.03889647]]"
"[[ 0.70981758  0.70981758  0.70981758  0.70981758  0.70981758  0.61528594
   0.9452811   0.5646128   1.13153689  0.62350353  0.93638268  0.75475211
   1.0030976   0.71488978  1.0478461   0.71991638  1.06279831]
 [-0.96719368 -0.96719368 -0.96719368 -0.96719368 -0.96719368 -1.17211958
  -1.16438457 -0.96565668 -0.95274957 -0.77160762 -0.8109575  -1.18693063
  -1.16236258 -1.1996657  -1.1292399  -1.27883658 -1.1148595 ]
 [ 1.53664255  1.53664255  1.53664255  1.53664255  1.53664255  1.36478855
   1.43446809  1.17658949  1.3797556   1.34291634  1.42665978  0.83305089
   0.83139792  0.4132289   0.38529739  0.00305735 -0.0409933 ]]","[[ 0.27761706  0.27761706  0.27761706  0.27761706  0.27761706  0.05404714
   0.15290704  0.18463647  0.2117836   0.37679424  0.37495645  0.08773369
   0.1472253   0.08940962  0.11934225  0.04266542  0.14190819]
 [-0.6807967  -0.6807967  -0.6807967  -0.6807967  -0.6807967  -0.53535484
  -0.83830961 -0.40435427 -0.88497329 -0.48533876 -0.70510524 -0.57456394
  -0.78276925 -0.55989217 -0.76572929 -0.56619226 -0.76295562]
 [ 1.52153233  1.52153233  1.52153233  1.52153233  1.52153233  1.33073121
   1.31946846  1.05830642  1.03981739  1.23134959  0.92497584  0.79407229
   0.77612014  0.37032335  0.34447368 -0.01806541  0.04135853]]","[[ 0.78485384  0.78485384  0.78485384  0.78485384  0.78485384  1.01798456
   0.78030612  1.11016466  0.53110585  0.82657442  0.61121237  0.97491386
   0.82429524  0.96622691  0.83493033  0.96160614  0.85501715]
 [-0.13519325 -0.13519325 -0.13519325 -0.13519325 -0.13519325 -0.19697852
   0.15298974 -0.4109788   0.16990062 -0.35010171 -0.05139355 -0.12187163
   0.07893739 -0.07002821  0.13541463 -0.05159321  0.19047726]
 [ 1.58416487  1.58416487  1.58416487  1.58416487  1.58416487  1.3898175
   1.40489504  1.37691702  1.40515496  1.43204423  1.4714742   0.81858318
   0.84023842  0.37268668  0.38201769 -0.04100985 -0.02834266]]"
"[[ 0.70210487  0.70210487  0.70210487  0.70210487  0.70210487  0.62655755
   0.95875616  0.52979511  1.05364042  0.4930963   0.91537073  0.72780344
   1.04630408  0.70849657  0.96580592  0.73246735  1.05795217]
 [-0.97040146 -0.97040146 -0.97040146 -0.97040146 -0.97040146 -1.18208987
  -1.15315933 -0.94902976 -0.99717971 -0.8438882  -0.82528081 -1.19646836
  -1.17151232 -1.18466352 -1.13058396 -1.27299981 -1.12958514]
 [ 1.54309805  1.54309805  1.54309805  1.54309805  1.54309805  1.37243525
   1.43246579  1.19597617  1.32237254  1.37772646  1.44404421  0.83198857
   0.82511488  0.40566433  0.3926535   0.06261145 -0.02843225]]","[[ 0.28748301  0.28748301  0.28748301  0.28748301  0.28748301  0.06376272
   0.12647286  0.15923203  0.21200282  0.38856562  0.36564323  0.08802682
   0.1227395   0.08846768  0.11249259  0.06220272  0.10217176]
 [-0.68761201 -0.68761201 -0.68761201 -0.68761201 -0.68761201 -0.53175257
  -0.85216819 -0.43974882 -0.87765751 -0.54071721 -0.77697983 -0.57155633
  -0.77230127 -0.56402604 -0.79181518 -0.55404906 -0.77518374]
 [ 1.51671307  1.51671307  1.51671307  1.51671307  1.51671307  1.32705505
   1.31497692  1.05135412  1.03402394  1.17661942  0.99092093  0.79124693
   0.76559458  0.37114752  0.34937917  0.03259407 -0.03003474]]","[[ 0.7786197   0.7786197   0.7786197   0.7786197   0.7786197   1.01249825
   0.82323282  1.11908803  0.52810686  0.89222103  0.58285066  0.98267733
   0.82689412  0.93404395  0.83375268  0.98091381  0.86769481]
 [-0.13657047 -0.13657047 -0.13657047 -0.13657047 -0.13657047 -0.20519246
   0.15763227 -0.42193111  0.18452001 -0.36539277 -0.01781668 -0.11806559
   0.11076704 -0.07108751  0.13483092 -0.03814192  0.175108  ]
 [ 1.58298028  1.58298028  1.58298028  1.58298028  1.58298028  1.38831393
   1.41289276  1.37888092  1.39592601  1.44694116  1.48999268  0.81119756
   0.84768213  0.36631556  0.39628496 -0.03563084 -0.03242032]]"
"[[ 7.28589810e-01  7.28589810e-01  7.28589810e-01  7.28589810e-01
   7.28589810e-01  6.33153394e-01  9.58954484e-01  5.43551256e-01
   1.15076356e+00  6.24040195e-01  9.42454386e-01  7.42815654e-01
   9.94781428e-01  7.09654530e-01  1.03817056e+00  7.21104411e-01
   1.07666136e+00]
 [-9.83327381e-01 -9.83327381e-01 -9.83327381e-01 -9.83327381e-01
  -9.83327381e-01 -1.18675057e+00 -1.17400635e+00 -9.46650524e-01
  -9.63246956e-01 -7.60550144e-01 -8.34057989e-01 -1.19792514e+00
  -1.15797204e+00 -1.18215331e+00 -1.13436712e+00 -1.27196831e+00
  -1.11832818e+00]
 [ 1.54481534e+00  1.54481534e+00  1.54481534e+00  1.54481534e+00
   1.54481534e+00  1.37133348e+00  1.42691267e+00  1.21139684e+00
   1.32728213e+00  1.35619017e+00  1.42554193e+00  8.32618674e-01
   8.28571454e-01  4.10402529e-01  3.91130699e-01 -1.08800339e-03
  -4.39783670e-02]]","[[ 0.28233592  0.28233592  0.28233592  0.28233592  0.28233592  0.07866162
   0.15571716  0.06356959  0.1858815   0.30084596  0.41750729  0.1126181
   0.10751737  0.10408661  0.14028325  0.03814672  0.14699443]
 [-0.67882975 -0.67882975 -0.67882975 -0.67882975 -0.67882975 -0.53845424
  -0.83812992 -0.4636248  -0.8825367  -0.54059291 -0.79475258 -0.5686214
  -0.78920143 -0.55069828 -0.80367279 -0.56251161 -0.79126289]
 [ 1.52494077  1.52494077  1.52494077  1.52494077  1.52494077  1.31742523
   1.31073543  1.02928886  1.01885784  1.05968288  0.99899281  0.7826266
   0.76097017  0.36582481  0.35437896 -0.0196026  -0.02504666]]","[[ 0.71201991  0.71201991  0.71201991  0.71201991  0.71201991  0.91295376
   0.85788571  1.02173862  0.55265509  0.85051111  0.62565456  0.9719849
   0.85866572  0.93608496  0.80209953  0.97851006  0.85262747]
 [-0.05268143 -0.05268143 -0.05268143 -0.05268143 -0.05268143 -0.17619677
   0.13444894 -0.43289685  0.24981955 -0.29902719  0.01260332 -0.10960349
   0.11003029 -0.05980579  0.16755096 -0.03651112  0.20879173]
 [ 1.56903731  1.56903731  1.56903731  1.56903731  1.56903731  1.38549737
   1.41165868  1.29567195  1.3774457   1.36084617  1.4555397   0.80894713
   0.83465107  0.36590147  0.40026461 -0.0316387  -0.02737561]]"
"[[ 7.45186125e-01  7.45186125e-01  7.45186125e-01  7.45186125e-01
   7.45186125e-01  6.21200036e-01  9.66414989e-01  5.42496011e-01
   1.19061351e+00  6.45023154e-01  9.95131635e-01  7.52167287e-01
   1.00685835e+00  6.97072729e-01  1.04603697e+00  7.22897625e-01
   1.06812534e+00]
 [-9.79491159e-01 -9.79491159e-01 -9.79491159e-01 -9.79491159e-01
  -9.79491159e-01 -1.18753658e+00 -1.16925193e+00 -9.56028850e-01
  -9.95019287e-01 -7.88677551e-01 -8.70684146e-01 -1.16349883e+00
  -1.14220561e+00 -1.17384111e+00 -1.12533074e+00 -1.28058819e+00
  -1.12710589e+00]
 [ 1.55720357e+00  1.55720357e+00  1.55720357e+00  1.55720357e+00
   1.55720357e+00  1.37574745e+00  1.42427274e+00  1.21408261e+00
   1.29486148e+00  1.34435464e+00  1.41532726e+00  8.21009596e-01
   8.25552651e-01  4.11360702e-01  3.88525848e-01 -1.23178947e-03
  -4.27575546e-02]]","[[ 0.27070058  0.27070058  0.27070058  0.27070058  0.27070058  0.05712127
   0.16242929  0.00893888  0.19248219  0.23937083  0.48486349  0.11223134
   0.12188198  0.10715251  0.12123983  0.06229899  0.11465621]
 [-0.66569895 -0.66569895 -0.66569895 -0.66569895 -0.66569895 -0.54081438
  -0.85302572 -0.46323049 -0.88249302 -0.5110206  -0.77409247 -0.58664298
  -0.8050211  -0.55746633 -0.7961234  -0.56079689 -0.77678221]
 [ 1.50974028  1.50974028  1.50974028  1.50974028  1.50974028  1.32212257
   1.31488353  1.04010738  1.04598218  1.02983709  1.05016351  0.77470271
   0.74039607  0.36539405  0.35611556 -0.03182275 -0.02097648]]","[[-0.18267246 -0.18267246 -0.18267246 -0.18267246 -0.18267246 -0.20828499
  -0.23402577 -0.08423911 -0.3155652  -0.03820376 -0.10622641 -0.22654874
  -0.2278308  -0.26647141 -0.19408036 -0.32676219 -0.20860488]
 [-0.6866764  -0.6866764  -0.6866764  -0.6866764  -0.6866764  -0.88394998
  -0.7629638  -0.72230386 -0.63856839 -0.56771147 -0.55579837 -0.84313952
  -0.74755952 -0.82478378 -0.71424114 -0.87299104 -0.7059068 ]
 [ 1.39947697  1.39947697  1.39947697  1.39947697  1.39947697  1.27187325
   1.28207928  1.15129638  1.18984077  1.30130043  1.33578083  0.9088462
   0.91502687  0.63629832  0.61180554  0.38916934  0.35068096]]","[[ 0.67247645  0.67247645  0.67247645  0.67247645  0.67247645  0.84025748
   0.87406921  0.92746948  0.61210802  0.79065394  0.62177244  0.91075109
   0.84288022  0.89915376  0.81947366  0.98306288  0.81292732]
 [ 0.17983375  0.17983375  0.17983375  0.17983375  0.17983375 -0.07398692
   0.2403876  -0.30824851  0.43550095 -0.21088082  0.18719498 -0.01789042
   0.21749436 -0.0344874   0.26947883 -0.0626211   0.32776108]
 [ 1.53871065  1.53871065  1.53871065  1.53871065  1.53871065  1.38207976
   1.38489747  1.23845656  1.34997706  1.27187975  1.41666523  0.80837781
   0.8254398   0.37036311  0.39071757 -0.04473586 -0.03041429]]"
"[[ 0.28973841  0.28973841  0.28973841  0.28973841  0.28973841  0.05811839
   0.17628865  0.01530553  0.22621176  0.26727263  0.51189418  0.10119815
   0.17542716  0.11512965  0.11974163  0.04234037  0.09850024]
 [-0.65987408 -0.65987408 -0.65987408 -0.65987408 -0.65987408 -0.54490417
  -0.86035418 -0.46846899 -0.87513651 -0.52423949 -0.7554524  -0.58598486
  -0.77928922 -0.55334328 -0.7986316  -0.55838084 -0.74842708]
 [ 1.51878173  1.51878173  1.51878173  1.51878173  1.51878173  1.32484851
   1.3147059   1.03376283  1.04673098  1.04221208  1.09083324  0.77901996
   0.77176784  0.3710399   0.34485033 -0.02291415 -0.02244999]]","[[ 0.80015404  0.80015404  0.80015404  0.80015404  0.80015404  0.70174213
   1.01827692  0.62254876  1.20499626  0.75802199  1.02070848  0.77446656
   1.01458481  0.7209589   1.01955862  0.72414401  1.06899105]
 [-0.96603372 -0.96603372 -0.96603372 -0.96603372 -0.96603372 -1.18014039
  -1.15711734 -0.98851211 -0.96827806 -0.79781784 -0.81998437 -1.16402199
  -1.13862056 -1.17086662 -1.11587142 -1.27045018 -1.12213667]
 [ 1.56410793  1.56410793  1.56410793  1.56410793  1.56410793  1.38255262
   1.41810347  1.1709754   1.29896153  1.26800164  1.3963729   0.82111852
   0.84059209  0.40768537  0.40293215  0.00586713 -0.0287528 ]]","[[ 0.61239866  0.61239866  0.61239866  0.61239866  0.61239866  0.67800069
   0.81717758  0.62290352  0.6544058   0.56439575  0.5528858   0.68157858
   0.75466873  0.64956423  0.78343564  0.85435703  0.81936271]
 [ 0.46470256  0.46470256  0.46470256  0.46470256  0.46470256  0.18120912
   0.50018304 -0.05554503  0.72605533  0.09557326  0.51802117  0.23169839
   0.43724988  0.13630925  0.3911699   0.05271396  0.34206359]
 [ 1.52979927  1.52979927  1.52979927  1.52979927  1.52979927  1.38751488
   1.3794452   1.21687211  1.30818564  1.22659881  1.36851041  0.81481015
   0.81604836  0.40542725  0.36572226  0.04034423 -0.03318925]]"
"[[ 0.29248184  0.29248184  0.29248184  0.29248184  0.29248184  0.06666061
   0.1516766   0.01661941  0.28838022  0.22061621  0.49332748  0.09793328
   0.12769913  0.10138791  0.12773451  0.04372721  0.15420662]
 [-0.68751464 -0.68751464 -0.68751464 -0.68751464 -0.68751464 -0.53788111
  -0.85982561 -0.46771522 -0.8296615  -0.47165932 -0.75230114 -0.57516608
  -0.77866654 -0.5566152  -0.79662157 -0.56618883 -0.76397762]
 [ 1.50233937  1.50233937  1.50233937  1.50233937  1.50233937  1.32836872
   1.30644278  1.03479477  1.02832516  1.05710223  1.08102431  0.77950336
   0.75154718  0.37062773  0.34045215 -0.01873211  0.04508705]]","[[ 0.79349144  0.79349144  0.79349144  0.79349144  0.79349144  0.74137107
   0.96062487  0.69394437  0.98561001  0.65029191  0.91319561  0.80648497
   1.06366989  0.80331127  1.01794765  0.75486845  1.07989238]
 [-0.95472754 -0.95472754 -0.95472754 -0.95472754 -0.95472754 -1.18005815
  -1.14709211 -0.95028289 -0.98648458 -0.77537212 -0.8265395  -1.1991174
  -1.13180126 -1.20534766 -1.11974702 -1.27433351 -1.11008281]
 [ 1.56462513  1.56462513  1.56462513  1.56462513  1.56462513  1.37860129
   1.42197399  1.18544703  1.27274241  1.33214964  1.4124009   0.83540208
   0.82724261  0.41111338  0.39466728  0.05382532 -0.03211856]]","[[ 0.48998262  0.48998262  0.48998262  0.48998262  0.48998262  0.55013834
   0.72044832  0.49862193  0.6500402   0.37550773  0.46739693  0.55633136
   0.69460405  0.46835261  0.74734125  0.41118203  0.83779145]
 [ 0.66763364  0.66763364  0.66763364  0.66763364  0.66763364  0.38026056
   0.67476278  0.11583703  0.90972057  0.32984405  0.73314847  0.37460138
   0.53379433  0.49751355  0.44154973  0.57494749  0.32187691]
 [ 1.50341075  1.50341075  1.50341075  1.50341075  1.50341075  1.37713825
   1.36241207  1.22393496  1.23164249  1.19575572  1.28496308  0.78475436
   0.79635537  0.39087436  0.37030139 -0.01311658 -0.02862676]]","[[ 0.8093596   0.8093596   0.8093596   0.8093596   0.8093596   0.69877381
   1.03808766  0.65214913  1.21095389  0.74049107  1.03538817  0.77571101
   1.00020999  0.77004918  1.03636416  0.7211119   1.06345383]
 [-0.95038137 -0.95038137 -0.95038137 -0.95038137 -0.95038137 -1.13362419
  -1.11267308 -0.98669892 -0.90624495 -0.78746279 -0.79933537 -1.12502938
  -1.09137489 -1.24066707 -1.11452992 -1.2851834  -1.08539026]
 [ 1.56211297  1.56211297  1.56211297  1.56211297  1.56211297  1.39428047
   1.4206244   1.19213171  1.30778083  1.29097201  1.39838375  0.85817701
   0.8583689   0.38653377  0.39973444 -0.0171465  -0.02105721]]"
"[[ 0.24031852  0.24031852  0.24031852  0.24031852  0.24031852  0.27045291
   0.49181364  0.22768902  0.6529297   0.1430724   0.40402129  0.30515814
   0.53028691  0.31615185  0.5086897   0.34141575  0.68043808]
 [ 0.85872195  0.85872195  0.85872195  0.85872195  0.85872195  0.58292147
   0.80837401  0.40245561  0.94574627  0.63162065  1.00169565  0.62481045
   0.77831089  0.67358398  0.79256506  0.67702704  0.50695849]
 [ 1.52648268  1.52648268  1.52648268  1.52648268  1.52648268  1.35917145
   1.38375628  1.13984047  1.15971031  1.06671223  1.05060269  0.7907393
   0.79229818  0.36976807  0.37537838 -0.05788139  0.11301415]]","[[ 7.97897473e-01  7.97897473e-01  7.97897473e-01  7.97897473e-01
   7.97897473e-01  7.03003751e-01  1.02595318e+00  6.58925817e-01
   1.20412774e+00  7.15722944e-01  1.02742609e+00  8.14019078e-01
   1.04164744e+00  7.62615097e-01  1.03475051e+00  7.36052041e-01
   1.07799616e+00]
 [-9.46075513e-01 -9.46075513e-01 -9.46075513e-01 -9.46075513e-01
  -9.46075513e-01 -1.17314234e+00 -1.10812454e+00 -9.63901216e-01
  -8.92328950e-01 -7.49477124e-01 -7.56462565e-01 -1.19510676e+00
  -1.14285828e+00 -1.21289447e+00 -1.11532694e+00 -1.28459411e+00
  -1.11987477e+00]
 [ 1.55738053e+00  1.55738053e+00  1.55738053e+00  1.55738053e+00
   1.55738053e+00  1.38519614e+00  1.42503041e+00  1.19474418e+00
   1.31767550e+00  1.31592687e+00  1.40758953e+00  8.31576989e-01
   8.38435298e-01  4.11207360e-01  3.89426436e-01 -1.26337648e-04
  -3.95947262e-02]]","[[ 0.27364169  0.27364169  0.27364169  0.27364169  0.27364169  0.06308543
   0.16855404  0.14080074  0.29463265  0.34718581  0.49028121  0.09895524
   0.12733273  0.09307697  0.13291158  0.06917591  0.14533517]
 [-0.65688776 -0.65688776 -0.65688776 -0.65688776 -0.65688776 -0.55252623
  -0.85033596 -0.44095989 -0.81243547 -0.48379404 -0.75900101 -0.59128432
  -0.80339134 -0.55397811 -0.79437676 -0.55738884 -0.77291451]
 [ 1.50139896  1.50139896  1.50139896  1.50139896  1.50139896  1.31920099
   1.3137186   1.04862496  1.05204798  1.17151176  1.20344072  0.78213297
   0.77196294  0.36071636  0.34983993  0.03004641  0.04333926]]"
"[[ 0.12745151  0.12745151  0.12745151  0.12745151  0.12745151  0.09504377
   0.40692781  0.01343775  0.56936953  0.01012177  0.48691575  0.15900942
   0.3573563   0.2350635   0.31112502  0.33926723  0.26215647]
 [ 1.12578078  1.12578078  1.12578078  1.12578078  1.12578078  0.87802596
   1.02239518  0.79407686  1.0590876   1.03912044  1.20490382  0.86149288
   0.98727424  0.78970227  1.10334612  0.68962765  1.22602471]
 [ 1.49678641  1.49678641  1.49678641  1.49678641  1.49678641  1.35073944
   1.3545981   1.09215777  1.09713327  1.04435077  0.92352466  0.77976581
   0.75999405  0.36516589  0.37809339 -0.03701823 -0.00453889]]","[[ 0.7950557   0.7950557   0.7950557   0.7950557   0.7950557   0.69056902
   1.02416593  0.65589577  1.20276385  0.73102841  1.01792857  0.81155894
   1.03435775  0.75001744  1.03111511  0.7390768   1.07111512]
 [-0.94717979 -0.94717979 -0.94717979 -0.94717979 -0.94717979 -1.16962587
  -1.11370882 -0.95643762 -0.89946461 -0.76925769 -0.76246097 -1.16994071
  -1.13289497 -1.21902721 -1.11641049 -1.27947465 -1.12911341]
 [ 1.55417631  1.55417631  1.55417631  1.55417631  1.55417631  1.37523373
   1.42229994  1.18619534  1.31392077  1.31988554  1.41073839  0.82051308
   0.82272681  0.40030322  0.38882762 -0.00180279 -0.03774123]]","[[ 2.77822004e-01  2.77822004e-01  2.77822004e-01  2.77822004e-01
   2.77822004e-01  6.64031590e-02  1.73978918e-01  3.08586642e-02
   3.32312871e-01  2.56721058e-01  5.80936222e-01  8.74436962e-02
   1.54669821e-01  8.69545364e-02  1.17858971e-01  4.82773098e-02
   9.71899896e-02]
 [-6.51553611e-01 -6.51553611e-01 -6.51553611e-01 -6.51553611e-01
  -6.51553611e-01 -5.59732329e-01 -8.33723376e-01 -4.79277334e-01
  -8.23692217e-01 -5.17641887e-01 -6.63096155e-01 -5.72544007e-01
  -7.76766015e-01 -5.61172853e-01 -8.00275506e-01 -5.66408199e-01
  -7.47882356e-01]
 [ 1.50215830e+00  1.50215830e+00  1.50215830e+00  1.50215830e+00
   1.50215830e+00  1.31204143e+00  1.31916259e+00  1.03380977e+00
   1.08398556e+00  1.05825569e+00  1.12021856e+00  7.77568089e-01
   7.66475891e-01  3.73993161e-01  3.62684595e-01 -6.94753004e-03
   1.91423159e-04]]"
